bucket,avg_qty,relative_volume,execution_price
09:30:00,10696640,0.06196509,130.16000000
09:45:00,8907871,0.05160285,130.48000000
10:00:00,10631856,0.06158980,130.35000000
10:15:00,7968852,0.04616316,130.50000000
10:30:00,7116972,0.04122826,130.92500000
10:45:00,6311327,0.03656120,131.12000000
11:00:00,6817398,0.03949284,131.35000000
11:15:00,5733615,0.03321454,131.20000000
11:30:00,6172092,0.03575462,131.14000000
11:45:00,7280017,0.04217277,131.08000000
12:00:00,5795266,0.03357168,131.05000000
12:15:00,3544394,0.02053250,131.23000000
12:30:00,3961362,0.02294797,131.53500000
12:45:00,3392003,0.01964970,131.43000000
13:00:00,3617895,0.02095828,131.34000000
13:15:00,4137806,0.02397010,131.29200000
13:30:00,4369025,0.02530954,131.42000000
13:45:00,4208543,0.02437988,131.49000000
14:00:00,4040228,0.02340484,131.48500000
14:15:00,3944704,0.02285147,131.38800000
14:30:00,4466707,0.02587541,131.36000000
14:45:00,4763369,0.02759396,131.45000000
15:00:00,6645228,0.03849547,131.66000000
15:15:00,6033030,0.03494904,131.73000000
15:30:00,7969087,0.04616452,131.86000000
15:45:00,13533707,0.07840008,131.83000000
16:00:00,10564643,0.06120044,131.98000000
